search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,cmbs_loan_status,cmbs_delinquency_flag,cmbs_watchlist_flag,cmbs_special_servicing_flag,cmbs_confidence,cmbs_evidence,owner_name,owner_company,mailing_address,owner_phone,owner_confidence,owner_evidence,ownership_since,ownership_length_years,attom_year_built,is_older_than_20_years
"Downtown Miami, Florida",3.0,Eurostars Langford,"121 SE 1st St, Miami, FL 33131, USA",4.1,1673,OPERATIONAL,9,Negative review signal: filthy | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned | Rating decline: -1.5 | Complaint rate increase: 1.0,4,4,1,300.0,3.5,5.0,-1.5,1.0,0.0,1.0,,,0.2,False,0,https://maps.google.com/?cid=11219080890172645630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,MIAMI SOUTHERN HOTELS LLC,MIAMI SOUTHERN HOTELS LLC,"1441 BRICKELL AVE, MIAMI, FL 33131-3426",,High,Retrieved from ATTOM property records,,,1925,Yes
"Downtown Miami, Florida",3.0,Leamington Hotel,"307 NE 1st St, Miami, FL 33132, USA",2.3,1078,OPERATIONAL,9,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 1078 | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down | Renovation signals in reviews: 200.0%,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,True,2,https://maps.google.com/?cid=18001152706082396593&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,GRAND ZODIAC REALTY LLC,GRAND ZODIAC REALTY LLC,"132 MINORCA AVE, CORAL GABLES, FL 33134-4510",,High,Retrieved from ATTOM property records,,,1925,Yes
"Fort Lauderdale, Florida",4.0,Element by Marriott Fort Lauderdale Downtown,"299 N Federal Hwy, Fort Lauderdale, FL 33301, USA",4.3,419,OPERATIONAL,9,Negative review signal: broken | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.0,0.0,3.0,1.0,0.0,1.0,,,0.6,True,2,https://maps.google.com/?cid=16673985674074620265&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,299 N FEDERAL MASTER LLC,299 N FEDERAL MASTER LLC,"299 N FEDERAL HWY, FORT LAUDERDALE, FL 33301-1117",,High,Retrieved from ATTOM property records,,,2019,No
"Orlando International Drive, Florida",3.0,Orlando Inn International Drive Area,"5900 American Way, Orlando, FL 32819, USA",2.9,16,OPERATIONAL,9,Low rating: 2.9 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: rude | Negative review signal: unsafe | Negative review signal: stained | Complaint rate increase: 1.2,2,5,0,100.0,1.8,0.0,1.8,1.2,0.0,1.2,,,0.2,False,0,https://maps.google.com/?cid=17291968103926665780&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,DONGXIANG INVESTMENT GROUP LLC,DONGXIANG INVESTMENT GROUP LLC,"8566 NW 19TH DR, CORAL SPRINGS, FL 33071-6151",,High,Retrieved from ATTOM property records,,,1984,Yes
"Orlando International Drive, Florida",3.0,"Motel 6 Orlando, FL - International Dr","5909 American Way, Orlando, FL 32819, USA",3.5,3643,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 3643 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: cockroach | Negative review signal: refund | Complaint rate increase: 1.4,2,5,0,100.0,3.2,0.0,3.2,1.4,0.0,1.4,,,0.2,False,0,https://maps.google.com/?cid=3342990123999511624&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,HARE KRISHNA UNIVERSAL LLC,HARE KRISHNA UNIVERSAL LLC,"2030 AVALON PKWY, MCDONOUGH, GA 30253-3096",,High,Retrieved from ATTOM property records,,,2002,Yes
"South Beach, Miami Beach, Florida",2.0,Hotel Chelsea,"944 Washington Ave, Miami Beach, FL 33139, USA",4.4,2209,OPERATIONAL,8,Negative review signal: smell | Negative review signal: mold | Rating decline: -0.75 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,4.25,5.0,-0.75,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=2132610243037929707&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,ELEVATOR PARTNERS,,"PO BOX 414198, MIAMI BEACH, FL 33141-8904",,High,Retrieved from ATTOM property records,,,1936,Yes
"South Beach, Miami Beach, Florida",2.0,The Kent Hotel,"1131 Collins Ave, Miami Beach, FL 33139, USA",4,804,OPERATIONAL,8,Negative review signal: smell | Negative review signal: noise | Review volume decline: -33.33% | Rating decline: -0.5 | Complaint rate increase: 0.67,6,2,3,-33.33,3.5,4.0,-0.5,1.0,0.33,0.67,,,0.2,False,0,https://maps.google.com/?cid=16420776550411770845&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,1131 KENT LLC,1131 KENT LLC,"16885 DALLAS PKWY, ADDISON, TX 75001-5215",,High,Retrieved from ATTOM property records,,,1939,Yes
"Downtown Miami, Florida",3.0,"Hotel Beaux Arts, Autograph Collection","Located Inside Of The Jw Marriott Marquis Miami Tower, 255 Biscayne Blvd Way, Miami, FL 33131, USA",4.4,223,OPERATIONAL,8,Negative review signal: worst | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=1128660527434867917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,,,Low,ATTOM lookup failed: 400 Client Error: Bad Request for url: https://api.gateway.attomdata.com/propertyapi/v1.0.0/property/detailowner?address1=Located+Inside+Of+The+Jw+Marriott+Marquis+Miami+Tower&address2=255+Biscayne+Blvd+Way%2C+Miami,,,,
"Brickell, Miami, Florida",2.0,La Mare Hotel and Residence,"1451 S Miami Ave, Miami, FL 33130, USA",3,2,OPERATIONAL,8,Low rating: 3 | Negative review signal: smell | Negative review signal: noise | Complaint rate increase: 2.0 | Renovation signals in reviews: 50.0%,2,1,0,100.0,1.0,0.0,1.0,2.0,0.0,2.0,,,0.5,True,2,https://maps.google.com/?cid=17483190104859943782&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,1450 BRICKELL LLC,1450 BRICKELL LLC,"1450 BRICKELL AVE STE 1450, MIAMI, FL 33131-3450",,High,Retrieved from ATTOM property records,,,2005,Yes
"Miami International Airport, Florida",3.0,Tru by Hilton Miami Airport South Blue Lagoon,"5560 Waterford District Dr, Miami, FL 33126, USA",4.1,525,OPERATIONAL,8,Negative review signal: dirty | Negative review signal: refund | Rating decline: -2.5 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,2.5,5.0,-2.5,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=11577357549477958621&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,5550 BL DRIVE MANAGEMENT LLC,5550 BL DRIVE MANAGEMENT LLC,"82 NORTHWEST DR, MIAMI, FL 33126-4258",,High,Retrieved from ATTOM property records,,,1972,Yes
"Miami International Airport, Florida",3.0,Sleep Inn Miami Airport,"105 Fairway Dr, Miami Springs, FL 33166, USA",3.5,2480,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 2480 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: disappointing | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.0,0.0,3.0,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=9242900432781386251&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,HOTEL FOUR LLC,HOTEL FOUR LLC,"411 S KROME AVE, FLORIDA CITY, FL 33034-4913",,High,Retrieved from ATTOM property records,,,1999,Yes
"Miami International Airport, Florida",3.0,Comfort Suites Miami Airport North,"657 Minola Dr, Miami Springs, FL 33166, USA",3.9,2535,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 2535 | Negative review signal: filthy | Negative review signal: smell | Negative review signal: cockroach | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=9442010565865043997&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"4767 NW 36TH ST, MIAMI SPRINGS, FL 33166-6106",,Low,Owner data unavailable,,,2011,No
"West Palm Beach, Florida",4.0,West Palm Beach Marriott,"1001 Okeechobee Blvd, West Palm Beach, FL 33401, USA",4.2,1790,OPERATIONAL,8,Negative review signal: dirty | Negative review signal: rude | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.4,0.0,3.4,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=15251747433384022274&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,LR WEST PALM BEACH LLC,LR WEST PALM BEACH LLC,"11661 SAN VICENTE BLVD STE 200, LOS ANGELES, CA 90049-5110",,High,Retrieved from ATTOM property records,,,1981,Yes
"Key West, Florida",3.0,"Casa Marina Key West, Curio Collection by Hilton","1500 Reynolds St, Key West, FL 33040, USA",3.7,4464,OPERATIONAL,8,Moderate-to-low rating with enough reviews: 4464 | Negative review signal: mold | Negative review signal: rude | Negative review signal: disappointing | Complaint rate increase: 1.0 | Renovation signals in reviews: 100.0%,2,5,0,100.0,4.8,0.0,4.8,1.0,0.0,1.0,,,1.0,True,2,https://maps.google.com/?cid=5877708265294663205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,CASA MARINA EQUITY HOLDINGS LLC,CASA MARINA EQUITY HOLDINGS LLC,"1775 TYSONS BLVD, MC LEAN, VA 22102-4285",,High,Retrieved from ATTOM property records,,,1901,Yes
"Orlando International Drive, Florida",3.0,Cambria Hotel Orlando Universal Blvd,"6801 Visitors Cir, Orlando, FL 32819, USA",4.5,1992,OPERATIONAL,8,Negative review signal: smell | Negative review signal: noise | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,2,5,0,100.0,3.6,0.0,3.6,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=9952511325429446789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,SAAR INTERNATIONAL HOTELS LLC,SAAR INTERNATIONAL HOTELS LLC,"479 MONTGOMERY PL, ALTAMONTE SPRINGS, FL 32714-3100",,High,Retrieved from ATTOM property records,,,2023,No
"Mid-Beach, Miami Beach, Florida",2.0,"Hotel Continental Miami Beach, Tapestry Collection by Hilton","4000 Collins Ave, Miami Beach, FL 33140, USA",4.2,721,OPERATIONAL,7,Negative review signal: leak | Negative review signal: broken | Negative review signal: noise | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.2,0.0,4.2,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=14974509022598601709&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,SOV CMB HOTEL OWNER LLC,SOV CMB HOTEL OWNER LLC,"250 SMOKE VALLEY RD, OSTERVILLE, MA 02655-1831",,High,Retrieved from ATTOM property records,,,1948,Yes
"Mid-Beach, Miami Beach, Florida",2.0,Sorrento Tower,"Miami Beach Boardwalk, Miami Beach, FL 33140, USA",4.3,75,OPERATIONAL,7,Negative review signal: broken | Negative review signal: rude | Negative review signal: disappointing | Complaint rate increase: 3.0 | Renovation signals in reviews: 300.0%,2,1,0,100.0,1.0,0.0,1.0,3.0,0.0,3.0,,,3.0,True,2,https://maps.google.com/?cid=5507356121727872017&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,,,Low,ATTOM lookup failed: 400 Client Error: Bad Request for url: https://api.gateway.attomdata.com/propertyapi/v1.0.0/property/detailowner?address1=Miami+Beach+Boardwalk&address2=Miami+Beach%2C+FL+33140,,,,
"Downtown Miami, Florida",3.0,JW Marriott Marquis Miami,"255 Biscayne Blvd Way, Miami, FL 33131, USA",4.4,2684,OPERATIONAL,7,Negative review signal: mold | Negative review signal: worst | Negative review signal: disappointing | Complaint rate increase: 0.8 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.2,0.0,3.2,0.8,0.0,0.8,,,0.6,True,2,https://maps.google.com/?cid=4766785321021611421&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"3500 LENOX RD NE STE 1800, ATLANTA, GA 30326-4239",,Low,Owner data unavailable,,,2010,No
"Brickell, Miami, Florida",2.0,"Dua Miami, Autograph Collection","1300 S Miami Ave, Miami, FL 33130, USA",4.4,1871,OPERATIONAL,7,Negative review signal: filthy | Negative review signal: smell | Negative review signal: broken | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.2,0.0,4.2,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=9884043752035724113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,1300 BRICKELL MIAMI LLC,1300 BRICKELL MIAMI LLC,"1300 S MIAMI, AVE, MIAMI, FL 33130-4467",,High,Retrieved from ATTOM property records,,,2016,No
"Brickell, Miami, Florida",2.0,"Brickell Arch, a Luxury Collection Hotel, Miami","1395 Brickell Ave, Miami, FL 33131, USA",4.3,2458,OPERATIONAL,7,Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.6,0.0,3.6,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=14979633365157170012&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,,,Low,Owner data unavailable,,,,
"West Palm Beach, Florida",4.0,The Lofts On Clematis | Stay West Palm,"208 Clematis St, West Palm Beach, FL 33401, USA",3.7,40,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 40 | Negative review signal: smell | Negative review signal: noise | Review volume decline: -33.33% | Complaint rate increase: 1.0,4,2,3,-33.33,5.0,5.0,0.0,1.0,0.0,1.0,,,0.0,False,0,https://maps.google.com/?cid=4152169464598314371&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,,,Low,ATTOM lookup failed: 400 Client Error: Bad Request for url: https://api.gateway.attomdata.com/propertyapi/v1.0.0/property/detailowner?address1=208+Clematis+St&address2=West+Palm+Beach%2C+FL+33401,,,,
"Orlando International Drive, Florida",3.0,Universal Endless Summer Resort – Surfside Inn and Suites,"7000 Universal Blvd, Orlando, FL 32819, USA",4.6,8635,OPERATIONAL,7,Negative review signal: leak | Negative review signal: worst | Negative review signal: noise | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,4.0,0.0,4.0,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=17680368040271103433&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,UNIVERSAL CITY DEVELOPMENT PARTNERS,,"1000 UNIVERSAL STUDIOS PLZ, ORLANDO, FL 32819-7601",,High,Retrieved from ATTOM property records,,,2019,No
